Date;Open;High;Low;Close;Adj Close;Volume;;Date;sentiment_polarity;sentiment_neg;sentiment_neu;sentiment_pos;news_count
8.12.2022;142.3600006;143.5200043;141.1000061;142.6499939;141.6762848;62128300;;23.06.2022;0.499285714;0.03875;0.870035714;0.091107143;28
9.12.2022;142.3399963;145.5700073;140.8999939;142.1600037;141.1896515;76097000;;24.06.2022;0.439928571;0.027821429;0.86375;0.1085;28
12.12.2022;142.6999969;144.5;141.0599976;144.4900055;143.5037537;70462700;;25.06.2022;0.3395;0.067333333;0.846;0.0865;6
13.12.2022;149.5;149.9700012;144.2400055;145.4700012;144.4770508;93886200;;26.06.2022;0.55025;0.021625;0.84;0.138375;8
14.12.2022;145.3500061;146.6600037;141.1600037;143.2100067;142.2324982;82291200;;27.06.2022;0.5597;0.031966667;0.8727;0.095433333;30
15.12.2022;141.1100006;141.8000031;136.0299988;136.5;135.5682831;98931900;;28.06.2022;0.454513514;0.042675676;0.862594595;0.094621622;37
16.12.2022;136.6900024;137.6499939;133.7299957;134.5099945;133.5918579;160156900;;29.06.2022;0.407153846;0.049846154;0.853538462;0.096846154;39
19.12.2022;135.1100006;135.1999969;131.3200073;132.3699951;131.4664764;79592600;;30.06.2022;0.210863636;0.0545;0.871704545;0.073772727;44
20.12.2022;131.3899994;133.25;129.8899994;132.3000031;131.3969574;77432800;;1.07.2022;0.413942857;0.047971429;0.861942857;0.09;35
21.12.2022;132.9799957;136.8099976;132.75;135.4499969;134.5254364;85928000;;2.07.2022;0.260333333;0.068333333;0.841166667;0.09;6
22.12.2022;134.3500061;134.5599976;130.3000031;132.2299957;131.3274231;77852100;;3.07.2022;0.0205;0.0785;0.8115;0.1095;2
23.12.2022;130.9199982;132.4199982;129.6399994;131.8600006;130.9599609;63814900;;4.07.2022;0.440833333;0.040333333;0.882333333;0.0775;6
27.12.2022;131.3800049;131.4100037;128.7200012;130.0299988;129.1424561;69007800;;5.07.2022;0.336107143;0.046464286;0.861107143;0.092392857;28
28.12.2022;129.6699982;131.0299988;125.8700027;126.0400009;125.1796799;85438400;;6.07.2022;0.423896552;0.049448276;0.857586207;0.092931034;29
29.12.2022;127.9899979;130.4799957;127.7300034;129.6100006;128.7253113;75703700;;7.07.2022;0.541172414;0.030344828;0.876931034;0.092827586;29
30.12.2022;128.4100037;129.9499969;127.4300003;129.9299927;129.0431061;77034200;;8.07.2022;0.24975;0.0361;0.89835;0.06555;20
3.01.2023;130.2799988;130.8999939;124.1699982;125.0699997;124.216301;112117500;;9.07.2022;0.5164;0;0.8798;0.1202;5
4.01.2023;126.8899994;128.6600037;125.0800018;126.3600006;125.4974976;89113600;;10.07.2022;-0.129333333;0.091333333;0.831333333;0.077333333;3
5.01.2023;127.1299973;127.7699966;124.7600021;125.0199966;124.1666336;80962700;;11.07.2022;0.201454545;0.056454545;0.870575758;0.072969697;33
6.01.2023;126.0100021;130.2899933;124.8899994;129.6199951;128.7352295;87754700;;12.07.2022;0.412777778;0.055888889;0.849740741;0.094333333;27
9.01.2023;130.4700012;133.4100037;129.8899994;130.1499939;129.2616119;70790800;;13.07.2022;0.52804;0.03932;0.84036;0.12044;25
10.01.2023;130.2599945;131.2599945;128.1199951;130.7299957;129.8376617;63896200;;14.07.2022;0.30608;0.05232;0.8582;0.08944;25
11.01.2023;131.25;133.5099945;130.4600067;133.4900055;132.5788422;69458900;;15.07.2022;0.366777778;0.057222222;0.850277778;0.092555556;18
12.01.2023;133.8800049;134.2599945;131.4400024;133.4100037;132.4994049;71379600;;16.07.2022;0.227;0.0374;0.8378;0.1246;5
13.01.2023;132.0299988;134.9199982;131.6600037;134.7599945;133.8401794;57809700;;17.07.2022;0.2512;0.0492;0.8252;0.1254;5
17.01.2023;134.8300018;137.2899933;134.1300049;135.9400024;135.0121002;63646600;;18.07.2022;0.47915;0.050075;0.848725;0.1012;40
18.01.2023;136.8200073;138.6100006;135.0299988;135.2100067;134.2870941;69672800;;19.07.2022;0.317679245;0.062169811;0.845962264;0.091830189;53
19.01.2023;134.0800018;136.25;133.7700043;135.2700043;134.3466797;58280400;;20.07.2022;0.354075;0.042025;0.871825;0.086125;40
20.01.2023;135.2799988;138.0200043;134.2200012;137.8699951;136.9289246;80223600;;21.07.2022;0.423806452;0.037322581;0.885903226;0.076709677;31
23.01.2023;138.1199951;143.3200073;137.8999939;141.1100006;140.1468353;81760300;;22.07.2022;0.540411765;0.039352941;0.858294118;0.102352941;34
24.01.2023;140.3099976;143.1600037;140.3000031;142.5299988;141.5571136;66435100;;23.07.2022;0.371333333;0.049666667;0.818666667;0.131;3
25.01.2023;140.8899994;142.4299927;138.8099976;141.8600006;140.8917084;65799300;;24.07.2022;0.5174;0.047933333;0.808;0.144133333;16
26.01.2023;143.1699982;144.25;141.8999939;143.9600067;142.9773712;54105100;;25.07.2022;0.346637931;0.032;0.882517241;0.08537931;58
27.01.2023;143.1600037;147.2299957;143.0800018;145.9299927;144.9339142;70555800;;26.07.2022;0.306793103;0.049586207;0.875896552;0.07462069;30
30.01.2023;144.9600067;145.5500031;142.8500061;143;142.0239258;64015300;;27.07.2022;0.294818182;0.064757576;0.858606061;0.076666667;33
31.01.2023;142.6999969;144.3399963;142.2799988;144.2899933;143.3051147;65874500;;28.07.2022;0.343875;0.047589286;0.859160714;0.09325;56
1.02.2023;143.9700012;146.6100006;141.3200073;145.4299927;144.4373169;77663600;;29.07.2022;0.540271429;0.035542857;0.844;0.120414286;70
